"pathway","effect","F_value","p_value","padj"
"Nucleotide metabolism","myc_status",8.95714662148618,0.00719068188360235,0.0131070657118828
"Metals and cofactors","myc_status",8.97324656661076,0.00714731672444368,0.0131070657118828
"ABC transporters","myc_status",9.02205783312247,0.00701761295086393,0.0131070657118828
"OXPHOS","myc_status",8.85148105587912,0.00748266869079257,0.0133025221169646
"Metabolism","myc_status",8.85430093697373,0.00747470711851136,0.0133025221169646
"Calcium homeostasis","myc_status",8.80357948824184,0.00761936562424491,0.0133803493889179
"Cristae formation","myc_status",8.72934960369097,0.00783672414659606,0.0135962443025281
"TIM22 carrier pathway","myc_status",8.60919631899818,0.00820334721726602,0.0137358372010036
"Glyoxylate metabolism","myc_status",8.66633056899123,0.00802668415753487,0.0137358372010036
"Organelle contact sites","myc_status",8.63150975951512,0.0081338420566767,0.0137358372010036
"OXPHOS subunits","myc_status",8.44681300662176,0.00872956184559835,0.0139672989529574
"Branched-chain amino acid metabolism","myc_status",8.4829368316242,0.00860932449189452,0.0139672989529574
"Glycine cleavage system","myc_status",8.5242484864686,0.0084740766388982,0.0139672989529574
"Vitamin B12 metabolism","myc_status",8.47175935456147,0.00864633010649342,0.0139672989529574
"Fusion","myc_status",8.3694302693279,0.0089934797581077,0.0142314404963463
"Gluconeogenesis","myc_status",8.27635190802734,0.00932278442194045,0.0145921843126024
"CI subunits","myc_status",8.13164235197547,0.00986179842299612,0.0152698814291553
"Malate-aspartate shuttle","myc_status",7.91610298648399,0.0107302905740144,0.0164303096153449
"Propanoate metabolism","myc_status",7.89039902153235,0.0108394403712345,0.0164303096153449
"Lysine metabolism","myc_status",7.73649793056387,0.0115194827619449,0.0172792241429174
"Lipid metabolism","myc_status",7.47178288245176,0.0128035967602424,0.0190074013760299
"mt-rRNA modifications","myc_status",7.09297978380437,0.0149288303466176,0.0219362405093156
"Coenzyme Q metabolism","myc_status",6.9834606688457,0.0156148525061478,0.0224853876088528
"Sulfur metabolism","myc_status",6.99399755134039,0.0155473380857209,0.0224853876088528
"Small molecule transport","myc_status",6.95879454285657,0.0157741870885257,0.0224899301064129
"GABA metabolism","myc_status",6.46817535649618,0.0193548448388163,0.02732448683127
